clean_tweets,label,classes,classes2
thank you and feeling grateful and hopeful with covidvaccine,opinion,1,2
while we wait for clearance india ship vaccine lka lka srilanka covid sl covid covidvaccine,opinion,1,1
meanwhile nyc ha a covidvaccine shortage is cancelling appointment for people like my mom said it,opinion,1,0
is this along the line of what dr vanden bossche warned about just a few week ago covidvaccine,opinion,1,1
astrazeneca covid volunteer dy trial to continue report astrazeneca covidvaccine,fact/announcement,0,3
uk pm boris johnson greets india on r day say working together to eliminate covid republicday republicday,fact/announcement,0,3
covidvaccine covid jab india for uk serum for british and britain,fact/announcement,0,3
first dose done covidvaccine,opinion,1,2
covid vaccine website violate disability law create inequity for the blind a y uma y covidvaccine,fact/announcement,0,3
access to covidvaccine in malawi only expected in april depressing and infuriating so much for globalhealth,opinion,1,0
covidvaccine ireland neoliberalism this is the best ireland ha a true,opinion,1,2
so ojsimpson get the covidvaccine before the elderly and those with pre existing condition sure life is fair,opinion,1,0
wayofhealingcoronaforlife that is in order for you to know the sure knowledge that by no mean and they can never,fact/announcement,0,3
got my st shot of covidvaccine today,opinion,1,2
november uk coronavirus update death and case recorded in last hour covid covidvaccine,fact/announcement,0,3
even better news had my covidvaccine today,opinion,1,2
tn ha day stock a it is vaccinating only a day covidvaccine indiafightscorona tamilnadu,opinion,1,1
shame on bibi for forcing covidvaccine on parent or else their kid will not get back to school it is against,opinion,1,0
way to go windsor covid ontario covidvaccine,opinion,1,2
javitscenter for those in need of extra work and the covidvaccine send in your resume,fact/announcement,0,3
the way thing are going even the thanksgiving turkey will need to wear a mask covidvaccine,opinion,1,0
pfizer file for emergency fda approval for covid vaccine say can distribute in december covid covid,fact/announcement,0,3
ethealthworld mexico make nearly million down payment for covax vaccine plan covidvaccine mexico,fact/announcement,0,3
dallas mayor do not hesitate to get the covid vaccine moderna,fact/announcement,0,3
so tell me to call them just to tell me that they will not fix their design flaw do not buy kia car this is,opinion,1,0
covid vaccine some of the wider ethical question christian will need to be thinking about,fact/announcement,0,3
my grandma and aunt got their nd covid shot today covidvaccine,opinion,1,2
remember to join live at pm uk time tonight where we discus covidscience covidvaccine,fact/announcement,0,3
today at pm live event sharing latest info on covidvaccine trial distribution more learn how to protect you,fact/announcement,0,3
i would rather we take some time with the covidvaccine then we will hopefully know of any side effect b,opinion,1,1
let u hope this help u get back to normal soon covidvaccine,opinion,1,2
the underdog coronavirus vaccine that the world will need if front runner stumble a bigpharma company fast t,fact/announcement,0,3
my yr old mum in still doe not have her covidvaccine appt letter yet this should have arri,opinion,1,1
suck it up deathsantis covidvaccine,opinion,1,0
unpaidcarer carers unpaid carers not allowed vaccine even when no one else to care for their family member if th,opinion,1,0
covid vaccination programme is breaking the link between covid infection and death study find covid,fact/announcement,0,3
thank you jesus my momma is getting her vaccine on friday morning she is so excited vaccination covidvaccine,opinion,1,2
covidvaccine news in the greater charlottesville area,fact/announcement,0,3
so grateful to the nh for my covidvaccine today thanks also to for the free ride there availab,opinion,1,2
you cannot catch coronavirus from the covidvaccine there is a lot of misinformation out there so make sure you r,opinion,1,1
m too many proc and too much juge please improve the rool out of covidvaccine strongertogether,opinion,1,2
proud to be an nyc healthcare worker and to do my part in ending this terrible pandemic covidvaccine,opinion,1,2
season of the being the dot podcast is here covid specialist talk about being frontlineworkers covid s i am,fact/announcement,0,3
got question about the covidvaccine and what it might mean for you or your loved one read s updated,fact/announcement,0,3
a bunch of airport folk got the covidvaccine this week this past year ha been hard for getting together with fa,opinion,1,2
thank you miss monique i did not expect to cry but i did i get to see my grandparent soon you all covidvaccine,opinion,1,2
if they do not want to be told to wear mask they should not be telling others not to get covidvaccine new front in,opinion,1,1
seemed like the time to share with tikinight at tomorrow and the covidvaccine just being made av,fact/announcement,0,3
do not hug your kid even with the covidvaccine,opinion,1,0
time to play our part one jab at a time covidvaccine bame pandemic covid uk,opinion,1,2
you did good the covidvaccine will do good,opinion,1,2
i do not know how to react to this covid vaccine covidvaccine,opinion,1,1
abafana must get vaccinated first covidvaccine lockdownsa,opinion,1,2
during december after administration of a reported st dos of pfizercovidvaccine,fact/announcement,0,3
brilliant thank you to the entire team covidvaccine primarycare,opinion,1,2
time to declare project wildfire will be tracking the covid b variant strain resist covid,fact/announcement,0,3
i got my first dose of the covidvaccine today when you are invited to have yours please do go for it to help p,opinion,1,2
fromthecenter woman report more side effect from the covid vaccine than men health expert explain why an,fact/announcement,0,3
way too many feel vaccinated vaccination robventures covidvaccine covid,opinion,1,2
way to unite u chuck where are you joe stop this and get them working on covidrelief,opinion,1,1
hse min per vaccine one observer for min after vaccination based on what covidvaccine,opinion,1,1
i do not know who initiated the hashtag but clotmorrison ought to be trending the ultimate double entendre auspol covidvaccine,opinion,1,1
pfizer covid vaccination day it is going to be a busy day thank you nh covidvaccine covidvac,opinion,1,2
way employer can do their part in providing access to the covidvaccine an op ed by our very own,fact/announcement,0,3
everything you need to know about getting a covid vaccination a the rollout extends across the you s vaccine,fact/announcement,0,3
sad hope other vaccine test give productive result covid covidvaccine india pause trial of astrazeneca s c,opinion,1,2
and note faucci is advocating for masking even after getting the vaccine covidvaccine wearamasksavealife,fact/announcement,0,3
can we fast track the vaccine to teacher who are scared covidvaccine covidvaccine,opinion,1,1
lifeupdate i am officially fullyvaccinated thank you j j one and done covidvaccine,opinion,1,2
very frustrating experience trying to schedule eligible family member for covidvaccine in this morning ha,opinion,1,0
is asking the to update it covidvaccine eua to say that the vaccine can be stored at com,fact/announcement,0,3
anyone noticed covidvaccine nwo digitaltransformation,fact/announcement,0,3
middaynews mumbai fewer than show up for covid vaccination for second day coronavirus,fact/announcement,0,3
house democrat diagnosed with covid after receiving both vaccine dos oilfield ocf covidvaccine covid,fact/announcement,0,3
yay my mother received her nd covidvaccine yesterday and she is feeling a little under the weather she is goo,opinion,1,2
got my first dose of covidvaccine today halfway to being fully vaccinated thank you moderna,opinion,1,2
all covid vaccine death are unrelated a per india govt only in norway they were related covidvaccine,fact/announcement,0,3
it is thursday today is a great day got my first dose of the covidvaccine and tonight is the only,opinion,1,2
the covidvaccine issued will be based on the supply from the manufacturer and assignment from the centre pls reme,fact/announcement,0,3
took a cab yesterday with an antivaxxer driver we had quite a conversation but i am afraid this overdose in qld m,fact/announcement,0,3
competing with coronavirus why tweaking vaccine to fight variant can be complicated covid covid bc,fact/announcement,0,3
russian president vladimir putin s daughter is among the first one to get vaccinated russia,fact/announcement,0,3
vaccination drive to begin on jan pm review preparedness covidvaccine narendramodi covid,fact/announcement,0,3
if you are aged over join the million londoner who have already had the first dose of their covidvaccine b,fact/announcement,0,3
the army ha a long history of producing vaccine they are working at walterreed medical institute on a,fact/announcement,0,3
covidvaccine a part fairy tale,opinion,1,1
had my covidvaccine today and everyone keep asking me how i got it like they are sold out beyonce ticket,opinion,1,2
here is what aina rattu gurkiranjit medical assistant said about getting the covidvaccine we were not,opinion,1,1
new machine learning model predicts covid severity machinelearning covid,fact/announcement,0,3
done and now i wait min bless this awesome nurse vaccination covidvaccine,opinion,1,2
covidvaccine vaccination pfizervaccine pfizer covid uk they are killing people,opinion,1,0
watch out just had this email scam covidvaccine,opinion,1,1
just published by the lancet correspondence between bucci and logunov contending the need for further data sharing,fact/announcement,0,3
thanks president trump for operation war speed thanks president biden for following through covidvaccine covid,opinion,1,2
what do our local doctor think of the covidvaccine scam in this video by you see inside a local icu,fact/announcement,0,3
what is happening with the vaccination programme for the romney marsh covidvaccine,opinion,1,1
asked about the reaction upon learning their covidvaccine wa effective it wa a very emotio,fact/announcement,0,3
if this is happening anywhere it at the cost of innocent life covid covidvaccine letssavelives,opinion,1,1
covidvaccine is getting ready le corona now,fact/announcement,0,3
suggests rate of covidvaccine roll out will take year for u all qc er to be vaccinated i neve,fact/announcement,0,3
just had my first dose of the covid vaccine let u hope we can get back to normal soon covidvaccine,opinion,1,2
thank you for hosting a pleasant and well organized vaccination site covidvaccine,opinion,1,2
unsure about the covidvaccine in the context of pregnancy fertility data so far suggest that it is safe g,fact/announcement,0,3
last i heard the cna in any doctor or healthcare clinic wa qualified to give a shot did not know there needed to,opinion,1,1
covidvaccine a on rd january till am beneficiary have received the vaccination under the coun,fact/announcement,0,3
just received the happy call from for my covidvaccine woo hoo,opinion,1,2
do not delay your vaccination covid vaccination covishield covidvaccine vaccinessavelives,opinion,1,2
yes this we need to dumb it down so more people get the vaccine mrna covidvaccine,opinion,1,2
new resource having a vaccine for coronavirus a wordless story to support conversation about the covidvaccine,fact/announcement,0,3
indiana kentucky are neck neck covidvaccine,opinion,1,1
covidvaccine appointment phonelines are temporally down we apologize for any inconvenience we ar,fact/announcement,0,3
woot mom got first shot of the covidvaccine today in arlington va,opinion,1,2
stop taking these otc medicine before getting a coronavirus vaccine advises covid,fact/announcement,0,3
next shipment of covidvaccine for nyc k dos are well short of goal of inoculating million p,fact/announcement,0,3
looking for info about the covidvaccine we have answer to frequently asked q for heartdisease patient lear,fact/announcement,0,3
thank you minister for not interfering in our personal freedom covidvaccines covidvaccine,opinion,1,0
southafrica halted the use of the astrazeneca oxford covidvaccine yesterday after evidence emerged that it did not,fact/announcement,0,3
janssen vaccine received today one done covidvaccine,opinion,1,2
record number of recovery i guess that would not because phony outrage covidvaccine,opinion,1,0
what a ghastly israeli minister on andrewmarr denying palestinian covidvaccine rabbi want a change but are being ignored,opinion,1,1
scientist at rrh and are helping to launch a clinicaltrial to study a third dose of the pfizer biontech,fact/announcement,0,3
maharashtraneedsvaccine many plces in maharashtra covidvaccine is not available due to lower,fact/announcement,0,3
a look at how blockchain due to it immutability transparency and traceability could offer efficient and acc,fact/announcement,0,3
great day for science and humanity what are your thought on the newly developed covid vaccine would you g,fact/announcement,0,3
got my covidvaccine today nyc essexcrossing wa surprisingly efficient thanks to for helping me scor,opinion,1,2
un chief recognizes india s pharmaceutical might pharmacyoftheworld capitalism globalism,fact/announcement,0,3
a great link to have moving forward covid covid news covidvaccine vaccineswork,fact/announcement,0,3
s elfonashelf ha just arrived imacelebrity covid covid uk covidvaccine fbpe kbf,fact/announcement,0,3
we need to make it clear it is ok to get vax on anticoag covidvaccine should people on blood thinner avoid the,opinion,1,1
cv location show covidvaccine slot in ca arvin bakersfield eureka madera pollock pine porterville reedley,fact/announcement,0,3
is history repeating with the death and injury from the covidvaccine america flu vaccine tragedy usa to,fact/announcement,0,3
when can you get the covidvaccine learn more covid inthistogether,fact/announcement,0,3
yesterday received a safe effective covidvaccine the faster we can get vaccine in arm the faster,opinion,1,2
the official nye song covid au covidvic newyearseve nye newyearwithfarmers newyears,fact/announcement,0,3
there is a dark humor in giving vaccine inside the agriculture center at the fairground covidvaccine fuckcovid,opinion,1,1
this is the waiting in line attitude while getting their covidvaccine me it look like you have a slight temper,opinion,1,2
fancy working for our team helping with the covidvaccine programme we have a number of exciting opportunity f,fact/announcement,0,3
blessed to receive my nd covid vaccine today thank you science covidvaccine healthcareworker ot,opinion,1,2
it is very important to invest in alstreatmentsnow,fact/announcement,0,3
a pooled analysis of the oxford covidvaccine show that efficacy wa higher among those with a long,fact/announcement,0,3
join mayor tonight along with the area trusted health leader to learn more about the covid,fact/announcement,0,3
it is unfair to blame the government for covidvaccine delay outside of it control but it is vital that a soon a,opinion,1,1
new covid warning cat hurricane covidvaccine axiosam,fact/announcement,0,3
watch many israeli have been fortunate enough to receive the covidvaccine we hope lesson learned in israel wil,opinion,1,2
like your dick your mouth need to be covered wearmask covidvaccine covid,opinion,1,1
getting involved in the vaccine rollout can be a win win for everyone while helping expedite covidvaccine distri,fact/announcement,0,3
happy friday covidvaccine,opinion,1,2
now this is class it is his st birthday and he is promoting covidvaccine all while bitter dlist celebs like ba,opinion,1,2
celebrating that my step mom in her s in fl just got the covidvaccine grateful that science is protecting my family,opinion,1,2
saving life is key and while we are still giving the covidvaccine to healthcareworkers we are starting with our,fact/announcement,0,3
half of all adult in uk have received their first dose of the covid vaccine nottingham covid vaccine,fact/announcement,0,3
we applaud change of heart and hope this spread covidvaccine,opinion,1,2
vaers vaccineadverseeventsreportingsystem site is purposefully difficult to maneuver here are the death inj,opinion,1,0
a per the report russia ha become the first one to register a coronavirusvaccine coronavirus,fact/announcement,0,3
share your research expertise on covid at epidemiologyhealthmeet webinar on november submit your abst,fact/announcement,0,3
it wa a very eventful day takethejab covidvaccine vaccine thankyoudolly thankyouscientists west,opinion,1,2
i am waiting in line for my second covidvaccine dose at the moment reading twitter feed and seeing people complain,opinion,1,2
just like with the wa also an earlyvoting site in the election covid covidvaccine,fact/announcement,0,3
tbc this reaction is not a covidvaccine side effect this is just baseline melissa a my colleagu,fact/announcement,0,3
urgent need to ensure covidvaccine safety message tailored to reach community working with trusted messenger w,fact/announcement,0,3
have patience be kind covidvaccine,opinion,1,2
today s summary of event manuscript rejected grant not funded received nd dose of covidvaccine so,opinion,1,2
cv location show covidvaccine slot in md beltsville chester frederick germantown oakland rockville temple hill,fact/announcement,0,3
morocco in the top ten country for covidvaccine,fact/announcement,0,3
covidvaccine biggest boon for travelindustry pitch to now freed to travel bursting to ma,fact/announcement,0,3
there is alot more to know about these covidvaccines though pfizer is considered to be the most effective one till,fact/announcement,0,3
release the patent now peopleoverprofit covidvaccine remembering albert sabin and the vaccine that changed the,fact/announcement,0,3
from today in pa covidvaccine with serious medical condition go get in line lafcolcovid,fact/announcement,0,3
great covidvaccine event this weekend from,fact/announcement,0,3
