user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,clean_hashtags,clean_text,clean_tweets,label,classes
Charzen,,Only the development of compassion and understanding for others can bring us the tranquility and happiness we all seek. - Dalai Lama XIV,2013-04-14 17:28:00,740.0,1681.0,88467.0,True,2020-12-31 14:43:00,"Thank you, @hartfordhosp and @HartfordHealthC! Feeling grateful and hopeful...🩹 with @CJZenzick3 #CovidVaccine https://t.co/ee4tGY8pfy",['CovidVaccine'],Twitter for iPhone,False,covidvaccine,thank you and feeling grateful and hopeful with covidvaccine,thank you and feeling grateful and hopeful with covidvaccine,opinion,1
KalhanRan,Sri Lanka,Presenting The Interesting With Colour & Style,2019-04-30 15:30:00,55.0,10.0,5973.0,True,2021-01-20 05:45:00,"While we wait for clearance , India ships vaccines     !
#LKA #lka #SriLanka #COVID19SL #COVID19 #CovidVaccine… https://t.co/40pTzrmdPt","['LKA', 'lka', 'SriLanka', 'COVID19SL', 'COVID19', 'CovidVaccine']",Twitter Web App,False,"lka, lka, srilanka, covid19sl, covid19, covidvaccine",while we wait for clearance india ships vaccines lka lka srilanka covid19sl covid19 covidvaccine,while we wait for clearance india ship vaccine lka lka srilanka covid sl covid covidvaccine,opinion,1
Elaine Schattner,NYC,"Journalist. Physician. Book on cancer attitudes, 2022. Former oncologist, researcher. After breast cancer. Scoliosis. Patient advocate. Reader. Citizen. She/her",2009-12-07 20:37:00,18111.0,10492.0,27964.0,True,2021-01-21 14:08:00,"Meanwhile NYC has a #CovidVaccine shortage, is cancelling appointments for people like my Mom. @NYGovCuomo said it… https://t.co/MpxEu5G9Ea",['CovidVaccine'],Twitter Web App,False,covidvaccine,meanwhile nyc has a covidvaccine shortage is cancelling appointments for people like my mom said it,meanwhile nyc ha a covidvaccine shortage is cancelling appointment for people like my mom said it,opinion,1
Gabriel Hackett,"Liverpool, the South end. 🇮🇪",#JUSTSAYNO,2011-04-21 17:57:00,321.0,1605.0,2031.0,False,2021-03-19 20:36:00,@Anshul__K Is this along the lines of what Dr. Vanden Bossche warned about just a few weeks ago? #CovidVaccine,['CovidVaccine'],Twitter for Android,False,covidvaccine,is this along the lines of what dr vanden bossche warned about just a few weeks ago covidvaccine,is this along the line of what dr vanden bossche warned about just a few week ago covidvaccine,opinion,1
The English Post,India,"The English Post brings you news from around the world. Contact us - contact@theenglishpost.com
Telegram - https://t.co/RmT2PXrF4c",2016-09-19 17:48:00,4691.0,297.0,1.0,True,2020-10-22 15:01:00,"AstraZeneca Covid volunteer dies, trials to continue: Report 

#AstraZeneca #CovidVaccine 

https://t.co/IaQfPV6aMQ","['AstraZeneca', 'CovidVaccine']",Twitter Web App,False,"astrazeneca, covidvaccine",astrazeneca covid volunteer dies trials to continue report astrazeneca covidvaccine,astrazeneca covid volunteer dy trial to continue report astrazeneca covidvaccine,fact/announcement,0
TheNews21,"Mumbai, India","It covers regional & federal politics, foreign affairs apart from sports, entertainment, business, tech. Follow Founder Editor @vivekbhavsar",2019-09-01 06:12:00,226.0,888.0,133.0,True,2021-01-26 06:12:00,"UK PM Boris Johnson greets India on R-Day, says working together to eliminate COVID
#RepublicDay2021
#RepublicDay… https://t.co/NFiSer1gfd","['RepublicDay2021', 'RepublicDay']",Twitter for Android,False,"republicday2021, republicday",uk pm boris johnson greets india on rday says working together to eliminate covidrepublicday2021republicday,uk pm boris johnson greets india on r day say working together to eliminate covid republicday republicday,fact/announcement,0
Chalo London,London,Planning to visit London? Thinking of working in the UK? Aspire to Study in Britain? Making Your dreams come true...,2015-01-03 18:59:00,5.0,110.0,1.0,True,2021-04-09 11:31:00,"#CovidVaccine #COVID #jabs #India for #UK 
#Serum @adarpoonawalla for #British and #Britain 

https://t.co/MZN30c7MhZ","['CovidVaccine', 'COVID', 'jabs', 'India', 'UK', 'Serum', 'British', 'Britain']",Twitter Web App,False,"covidvaccine, covid, jabs, india, uk, serum, british, britain",covidvaccine covid jabs india for uk serum for british and britain,covidvaccine covid jab india for uk serum for british and britain,fact/announcement,0
Brenda Ruhnke,"Platte City, MO","OT, Certified Hand Therapist, Certified Lymphedema Therapist.",2013-08-20 23:00:00,142.0,349.0,4508.0,True,2020-12-30 20:19:00,First dose done! #CovidVaccine https://t.co/aSyVEjahO5,['CovidVaccine'],Twitter for iPhone,False,covidvaccine,first dose done covidvaccine,first dose done covidvaccine,opinion,1
P. F. Anderson is recovering ... slowly,"Ann Arbor, Michigan","single mom, emtech, ehealth, informatics, ebhc, MODERATE, ♫, quilts/yarn/origami, food, GF/CF, PTSD, ASD, iaido. Follows/RTs≠endorsement. Tweets my own.",2007-04-29 00:54:00,12195.0,13458.0,60432.0,False,2021-02-28 01:21:00,"Covid Vaccine Websites Violate Disability Laws, Create Inequity for the Blind https://t.co/HYYv3gGmcK #a11y #uma11y #CovidVaccine","['a11y', 'uma11y', 'CovidVaccine']",Twitter Web App,False,"a11y, uma11y, covidvaccine",covid vaccine websites violate disability laws create inequity for the blind a11y uma11y covidvaccine,covid vaccine website violate disability law create inequity for the blind a y uma y covidvaccine,fact/announcement,0
Bregje de Kok,"Amsterdam, Nederland","Assistant professor,  medical anthropology, Univ of Amsterdam. Expertise in sexual, reproductive and maternal health and rights, discursive psychology",2012-06-23 20:17:00,333.0,374.0,612.0,True,2021-01-29 22:20:00,Access to #CovidVaccine in #Malawi only expected in April. Depressing and infuriating. So much for #globalhealth https://t.co/CypJYnsjzq,"['CovidVaccine', 'Malawi', 'globalhealth']",Twitter for Android,False,"covidvaccine, malawi, globalhealth",access to covidvaccine in malawi only expected in april depressing and infuriating so much for globalhealth,access to covidvaccine in malawi only expected in april depressing and infuriating so much for globalhealth,opinion,1
