clean_tweets,label,classes
thank you and feeling grateful and hopeful with covidvaccine,opinion,1
while we wait for clearance india ship vaccine lka lka srilanka covid sl covid covidvaccine,opinion,1
meanwhile nyc ha a covidvaccine shortage is cancelling appointment for people like my mom said it,opinion,1
is this along the line of what dr vanden bossche warned about just a few week ago covidvaccine,opinion,1
astrazeneca covid volunteer dy trial to continue report astrazeneca covidvaccine,fact/announcement,0
uk pm boris johnson greets india on r day say working together to eliminate covid republicday republicday,fact/announcement,0
covidvaccine covid jab india for uk serum for british and britain,fact/announcement,0
first dose done covidvaccine,opinion,1
covid vaccine website violate disability law create inequity for the blind a y uma y covidvaccine,fact/announcement,0
access to covidvaccine in malawi only expected in april depressing and infuriating so much for globalhealth,opinion,1
covidvaccine ireland neoliberalism this is the best ireland ha a true,opinion,1
so ojsimpson get the covidvaccine before the elderly and those with pre existing condition sure life is fair,opinion,1
wayofhealingcoronaforlife that is in order for you to know the sure knowledge that by no mean and they can never,fact/announcement,0
got my st shot of covidvaccine today,opinion,1
november uk coronavirus update death and case recorded in last hour covid covidvaccine,fact/announcement,0
even better news had my covidvaccine today,opinion,1
tn ha day stock a it is vaccinating only a day covidvaccine indiafightscorona tamilnadu,fact/announcement,0
shame on bibi for forcing covidvaccine on parent or else their kid will not get back to school it is against,opinion,1
way to go windsor covid ontario covidvaccine,opinion,1
javitscenter for those in need of extra work and the covidvaccine send in your resume,fact/announcement,0
the way thing are going even the thanksgiving turkey will need to wear a mask covidvaccine,opinion,1
pfizer file for emergency fda approval for covid vaccine say can distribute in december covid covid,fact/announcement,0
ethealthworld mexico make nearly million down payment for covax vaccine plan covidvaccine mexico,fact/announcement,0
dallas mayor do not hesitate to get the covid vaccine moderna,fact/announcement,0
so tell me to call them just to tell me that they will not fix their design flaw do not buy kia car this is,opinion,1
covid vaccine some of the wider ethical question christian will need to be thinking about,fact/announcement,0
my grandma and aunt got their nd covid shot today covidvaccine,opinion,1
remember to join live at pm uk time tonight where we discus covidscience covidvaccine,fact/announcement,0
today at pm live event sharing latest info on covidvaccine trial distribution more learn how to protect you,fact/announcement,0
i would rather we take some time with the covidvaccine then we will hopefully know of any side effect b,opinion,1
let u hope this help u get back to normal soon covidvaccine,opinion,1
the underdog coronavirus vaccine that the world will need if front runner stumble a bigpharma company fast t,fact/announcement,0
my yr old mum in still doe not have her covidvaccine appt letter yet this should have arri,opinion,1
suck it up deathsantis covidvaccine,opinion,1
unpaidcarer carers unpaid carers not allowed vaccine even when no one else to care for their family member if th,opinion,1
covid vaccination programme is breaking the link between covid infection and death study find covid,fact/announcement,0
thank you jesus my momma is getting her vaccine on friday morning she is so excited vaccination covidvaccine,opinion,1
covidvaccine news in the greater charlottesville area,fact/announcement,0
so grateful to the nh for my covidvaccine today thanks also to for the free ride there availab,opinion,1
you cannot catch coronavirus from the covidvaccine there is a lot of misinformation out there so make sure you r,fact/announcement,0
m too many proc and too much juge please improve the rool out of covidvaccine strongertogether,opinion,1
proud to be an nyc healthcare worker and to do my part in ending this terrible pandemic covidvaccine,opinion,1
season of the being the dot podcast is here covid specialist talk about being frontlineworkers covid s i am,fact/announcement,0
got question about the covidvaccine and what it might mean for you or your loved one read s updated,fact/announcement,0
a bunch of airport folk got the covidvaccine this week this past year ha been hard for getting together with fa,opinion,1
thank you miss monique i did not expect to cry but i did i get to see my grandparent soon you all covidvaccine,opinion,1
if they do not want to be told to wear mask they should not be telling others not to get covidvaccine new front in,opinion,1
seemed like the time to share with tikinight at tomorrow and the covidvaccine just being made av,fact/announcement,0
do not hug your kid even with the covidvaccine,opinion,1
time to play our part one jab at a time covidvaccine bame pandemic covid uk,opinion,1
you did good the covidvaccine will do good,opinion,1
i do not know how to react to this covid vaccine covidvaccine,opinion,1
abafana must get vaccinated first covidvaccine lockdownsa,opinion,1
during december after administration of a reported st dos of pfizercovidvaccine,fact/announcement,0
brilliant thank you to the entire team covidvaccine primarycare,opinion,1
time to declare project wildfire will be tracking the covid b variant strain resist covid,fact/announcement,0
i got my first dose of the covidvaccine today when you are invited to have yours please do go for it to help p,opinion,1
fromthecenter woman report more side effect from the covid vaccine than men health expert explain why an,fact/announcement,0
way too many feel vaccinated vaccination robventures covidvaccine covid,opinion,1
way to unite u chuck where are you joe stop this and get them working on covidrelief,opinion,1
hse min per vaccine one observer for min after vaccination based on what covidvaccine,opinion,1
i do not know who initiated the hashtag but clotmorrison ought to be trending the ultimate double entendre auspol covidvaccine,opinion,1
pfizer covid vaccination day it is going to be a busy day thank you nh covidvaccine covidvac,opinion,1
way employer can do their part in providing access to the covidvaccine an op ed by our very own,fact/announcement,0
everything you need to know about getting a covid vaccination a the rollout extends across the you s vaccine,fact/announcement,0
sad hope other vaccine test give productive result covid covidvaccine india pause trial of astrazeneca s c,opinion,1
and note faucci is advocating for masking even after getting the vaccine covidvaccine wearamasksavealife,fact/announcement,0
can we fast track the vaccine to teacher who are scared covidvaccine covidvaccine,opinion,1
lifeupdate i am officially fullyvaccinated thank you j j one and done covidvaccine,opinion,1
very frustrating experience trying to schedule eligible family member for covidvaccine in this morning ha,opinion,1
is asking the to update it covidvaccine eua to say that the vaccine can be stored at com,fact/announcement,0
anyone noticed covidvaccine nwo digitaltransformation,fact/announcement,0
middaynews mumbai fewer than show up for covid vaccination for second day coronavirus,fact/announcement,0
house democrat diagnosed with covid after receiving both vaccine dos oilfield ocf covidvaccine covid,fact/announcement,0
yay my mother received her nd covidvaccine yesterday and she is feeling a little under the weather she is goo,opinion,1
got my first dose of covidvaccine today halfway to being fully vaccinated thank you moderna,opinion,1
all covid vaccine death are unrelated a per india govt only in norway they were related covidvaccine,fact/announcement,0
it is thursday today is a great day got my first dose of the covidvaccine and tonight is the only,opinion,1
the covidvaccine issued will be based on the supply from the manufacturer and assignment from the centre pls reme,fact/announcement,0
took a cab yesterday with an antivaxxer driver we had quite a conversation but i am afraid this overdose in qld m,fact/announcement,0
competing with coronavirus why tweaking vaccine to fight variant can be complicated covid covid bc,fact/announcement,0
russian president vladimir putin s daughter is among the first one to get vaccinated russia,fact/announcement,0
vaccination drive to begin on jan pm review preparedness covidvaccine narendramodi covid,fact/announcement,0
if you are aged over join the million londoner who have already had the first dose of their covidvaccine b,fact/announcement,0
